plotname,area,points,devRRT
inputs/sample_12_comp=Target_21.jpeg,8280760.59,12,0.00702
inputs/sample_21_comp=Target_21.jpeg,2471338.17,7,0.00826
inputs/sample_23_comp=Target_21.jpeg,1124377.6,8,0.00469
inputs/sample_19_comp=Target_17.jpeg,532096.61,24,9e-4
inputs/sample_22_comp=Target_22.jpeg,7747023.59,13,0.00182
inputs/sample_2_comp=Target_22.jpeg,2209607,3,0.00187
inputs/sample_3_comp=Target_22.jpeg,972793.88,2,7.6e-4
inputs/sample_13_comp=Target_22.jpeg,875307.25,1,6e-4
inputs/sample_20_comp=Target_22.jpeg,375359.47,1,2.8e-4
inputs/sample_18_comp=Target_22.jpeg,585766.31,1,8.9e-4
inputs/sample_14_comp=Target_22.jpeg,1850832.75,1,9.2e-4
inputs/sample_11_comp=Target_22.jpeg,535122.25,1,0.00504
inputs/sample_15_comp=Target_22.jpeg,5253335.75,7,0.002
inputs/sample_1_comp=Target_22.jpeg,1265509.81,3,0.00244
inputs/sample_4_comp=Target_22.jpeg,747113.12,1,2.9e-4
inputs/sample_17_comp=Target_22.jpeg,940705.69,1,6.4e-4
inputs/sample_5_comp=Target_22.jpeg,623250.62,1,8.9e-4
inputs/sample_12_comp=Target_22.jpeg,3341405.88,3,0.00105
inputs/sample_24_comp=Target_22.jpeg,3240528.88,4,0.00262
inputs/sample_21_comp=Target_22.jpeg,685275,1,4.2e-4
inputs/sample_10_comp=Target_22.jpeg,888791.38,1,0.00369
inputs/sample_23_comp=Target_22.jpeg,374459.34,1,0.00152
inputs/sample_19_comp=Target_18.jpeg,83044.11,1,0.00711
inputs/sample_20_comp=Target_3.jpeg,1752730.88,1,0.00165
inputs/sample_14_comp=Target_3.jpeg,3632517,1,0.00467
inputs/sample_13_comp=Target_3.jpeg,3123204.97,6,0.00278
inputs/sample_15_comp=Target_3.jpeg,8265955.75,4,0.00206
inputs/sample_1_comp=Target_3.jpeg,1238961.75,2,0.00393
inputs/sample_18_comp=Target_3.jpeg,703112.06,1,0.00181
inputs/sample_11_comp=Target_3.jpeg,3818552.5,3,0.00201
inputs/sample_4_comp=Target_3.jpeg,2399173,1,0.00164
inputs/sample_17_comp=Target_3.jpeg,3411341.5,2,0.00364
inputs/sample_2_comp=Target_3.jpeg,6997135.62,4,8.1e-4
inputs/sample_3_comp=Target_3.jpeg,373943.22,1,0.00228
inputs/sample_22_comp=Target_3.jpeg,204544.25,1,0.01371
inputs/sample_24_comp=Target_3.jpeg,15696889.12,6,0.00193
inputs/sample_10_comp=Target_3.jpeg,1498700,1,0.00168
inputs/sample_21_comp=Target_3.jpeg,43035362.5,18,0.00222
inputs/sample_12_comp=Target_3.jpeg,21889019.75,6,0.00134
inputs/sample_5_comp=Target_3.jpeg,419228.03,1,0.00147
inputs/sample_23_comp=Target_3.jpeg,2403567.97,4,0.00247
inputs/sample_19_comp=Target_19.jpeg,11154016.59,16,6.2e-4
inputs/sample_14_comp=Target_4.jpeg,3178253759.31,64,3.2e-4
inputs/sample_13_comp=Target_4.jpeg,2269076284.23,69,3.5e-4
inputs/sample_3_comp=Target_4.jpeg,1872678343.75,68,2e-5
inputs/sample_22_comp=Target_4.jpeg,1886945345.82,64,3e-4
inputs/sample_1_comp=Target_4.jpeg,1495369094.65,62,0
inputs/sample_18_comp=Target_4.jpeg,1513367767.09,73,2.4e-4
inputs/sample_11_comp=Target_4.jpeg,1048705803.91,71,1.7e-4
inputs/sample_17_comp=Target_4.jpeg,1586423754.08,72,3.4e-4
inputs/sample_4_comp=Target_4.jpeg,3239386223.73,82,4e-5
inputs/sample_10_comp=Target_4.jpeg,1008236079.31,59,3.1e-4
inputs/sample_20_comp=Target_4.jpeg,2590579882.34,73,3.7e-4
inputs/sample_15_comp=Target_4.jpeg,1698240551.38,45,1.3e-4
inputs/sample_24_comp=Target_4.jpeg,1803456774.52,74,1.9e-4
inputs/sample_12_comp=Target_4.jpeg,3561812995,46,3.4e-4
inputs/sample_21_comp=Target_4.jpeg,1776503226.81,65,2.8e-4
inputs/sample_2_comp=Target_4.jpeg,3394149151.01,72,2e-4
inputs/sample_5_comp=Target_4.jpeg,1399176537.84,65,2.9e-4
inputs/sample_19_comp=Target_2.jpeg,0,0,1
inputs/sample_23_comp=Target_4.jpeg,2689203006.92,76,4e-5
inputs/sample_14_comp=Target_5.jpeg,1406829936.94,53,1e-4
inputs/sample_18_comp=Target_5.jpeg,730742864.41,48,0.00165
inputs/sample_3_comp=Target_5.jpeg,942287193.28,67,4e-4
inputs/sample_15_comp=Target_5.jpeg,847396007.12,72,0.0012
inputs/sample_10_comp=Target_5.jpeg,566744426.55,53,0.00264
inputs/sample_11_comp=Target_5.jpeg,526790019.08,44,0.0015
inputs/sample_13_comp=Target_5.jpeg,1093101720.69,66,7.7e-4
inputs/sample_1_comp=Target_5.jpeg,730056086.31,57,4.7e-4
inputs/sample_22_comp=Target_5.jpeg,896350983.15,60,1.2e-4
inputs/sample_17_comp=Target_5.jpeg,751155029.14,68,1.6e-4
inputs/sample_20_comp=Target_5.jpeg,1021014853.41,63,7.9e-4
inputs/sample_12_comp=Target_5.jpeg,1570139013.5,71,9.9e-4
inputs/sample_4_comp=Target_5.jpeg,1263840653.66,69,4.6e-4
