plotname,area,points,devRRT
inputs/sample_24_comp=Target_19_confirming.jpeg,236295.25,1,0.01319
inputs/sample_10_comp=Target_19_confirming.jpeg,0,0,1
inputs/sample_21_comp=Target_19_confirming.jpeg,296866.53,1,2.3e-4
inputs/sample_12_comp=Target_19_confirming.jpeg,2095747.28,9,5.1e-4
inputs/sample_15_comp=Target_19_confirming.jpeg,579242.37,4,8.1e-4
inputs/sample_23_comp=Target_19_confirming.jpeg,2211049.24,5,0.03457
inputs/sample_5_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_1_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_18_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_13_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_3_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_10_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_24_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_12_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_15_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_21_comp=Target_2_confirming.jpeg,144804.23,1,0.00191
inputs/sample_23_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_19_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_20_confirming.jpeg,1219257,1,0.00479
inputs/sample_11_comp=Target_20_confirming.jpeg,371625.59,1,0.01451
inputs/sample_18_comp=Target_20_confirming.jpeg,418878.94,1,7.9e-4
inputs/sample_15_comp=Target_20_confirming.jpeg,425510.84,1,0.00341
inputs/sample_1_comp=Target_20_confirming.jpeg,285393.41,1,5.1e-4
inputs/sample_13_comp=Target_20_confirming.jpeg,458492.78,1,1.6e-4
inputs/sample_5_comp=Target_20_confirming.jpeg,742132.28,5,0.00173
